speaker,title,topic,year,month,link
Henry B. Eyring,Gratitude on the Sabbath Day, love,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/gratitude-on-the-sabbath-day?lang=eng
Neill F. Marriott,What Shall We Do?, love,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/what-shall-we-do?lang=eng
Patrick Kearon,Refuge from the Storm, love,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/refuge-from-the-storm?lang=eng
D. Todd Christofferson,Fathers, love,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/fathers?lang=eng
Dieter F. Uchtdorf,In Praise of Those Who Save, love,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/in-praise-of-those-who-save?lang=eng
Jeffrey R. Holland,Tomorrow the Lord Will Do Wonders among You, love,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/tomorrow-the-lord-will-do-wonders-among-you?lang=eng
Henry B. Eyring,Trust in That Spirit Which Leadeth to Do Good, love,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/trust-in-that-spirit-which-leadeth-to-do-good?lang=eng
Cheryl A. Esplin,He Asks Us to Be His Hands, love,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/he-asks-us-to-be-his-hands?lang=eng
Linda K. Burton,“I Was a Stranger”, love,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/i-was-a-stranger?lang=eng
Carole M. Stephens,"“If Ye Love Me, Keep My Commandments”", love,10,2015,https://www.churchofjesuschrist.org/general-conference/2015/10/if-ye-love-me-keep-my-commandments?lang=eng
Rosemary M. Wixom,Discovering the Divinity Within, love,10,2015,https://www.churchofjesuschrist.org/general-conference/2015/10/discovering-the-divinity-within?lang=eng
Dieter F. Uchtdorf,A Summer with Great-Aunt Rose, love,10,2015,https://www.churchofjesuschrist.org/general-conference/2015/10/a-summer-with-great-aunt-rose?lang=eng
Ronald A. Rasband,I Stand All Amazed, love,10,2015,https://www.churchofjesuschrist.org/general-conference/2015/10/i-stand-all-amazed?lang=eng
Jeffrey R. Holland,Behold Thy Mother, love,10,2015,https://www.churchofjesuschrist.org/general-conference/2015/10/behold-thy-mother?lang=eng
Brent H. Nielson,Waiting for the Prodigal, love,04,2015,https://www.churchofjesuschrist.org/general-conference/2015/04/waiting-for-the-prodigal?lang=eng
Boyd K. Packer,The Plan of Happiness, love,04,2015,https://www.churchofjesuschrist.org/general-conference/2015/04/the-plan-of-happiness?lang=eng
Linda K. Burton,We’ll Ascend Together, love,04,2015,https://www.churchofjesuschrist.org/general-conference/2015/04/well-ascend-together?lang=eng
Dallin H. Oaks,Loving Others and Living with Differences, love,10,2014,https://www.churchofjesuschrist.org/general-conference/2014/10/loving-others-and-living-with-differences?lang=eng
Robert D. Hales,"Eternal Life—to Know Our Heavenly Father and His Son, Jesus Christ", love,10,2014,https://www.churchofjesuschrist.org/general-conference/2014/10/eternal-life-to-know-our-heavenly-father-and-his-son-jesus-christ?lang=eng
Hugo E. Martinez,Our Personal Ministries, love,10,2014,https://www.churchofjesuschrist.org/general-conference/2014/10/our-personal-ministries?lang=eng
Dieter F. Uchtdorf,Living the Gospel Joyful, love,10,2014,https://www.churchofjesuschrist.org/general-conference/2014/10/living-the-gospel-joyful?lang=eng
Thomas S. Monson,Until We Meet Again, love,04,2014,https://www.churchofjesuschrist.org/general-conference/2014/04/until-we-meet-again?lang=eng
Thomas S. Monson,Love—the Essence of the Gospel, love,04,2014,https://www.churchofjesuschrist.org/general-conference/2014/04/love-the-essence-of-the-gospel?lang=eng
Bonnie L. Oscarson,"Sisterhood: Oh, How We Need Each Other", love,04,2014,https://www.churchofjesuschrist.org/general-conference/2014/04/sisterhood-oh-how-we-need-each-other?lang=eng
Richard G. Scott,“I Have Given You an Example”, love,04,2014,https://www.churchofjesuschrist.org/general-conference/2014/04/i-have-given-you-an-example?lang=eng
W. Craig Zwick,What Are You Thinking?, love,04,2014,https://www.churchofjesuschrist.org/general-conference/2014/04/what-are-you-thinking?lang=eng
Linda K. Burton,"The Power, Joy, and Love of Covenant Keeping", love,10,2013,https://www.churchofjesuschrist.org/general-conference/2013/10/the-power-joy-and-love-of-covenant-keeping?lang=eng
Terence M. Vinson,Drawing Closer to God, love,10,2013,https://www.churchofjesuschrist.org/general-conference/2013/10/drawing-closer-to-god?lang=eng
Thomas S. Monson,We Never Walk Alone, love,10,2013,https://www.churchofjesuschrist.org/general-conference/2013/10/we-never-walk-alone?lang=eng
M. Russell Ballard,Put Your Trust in the Lord, love,10,2013,https://www.churchofjesuschrist.org/general-conference/2013/10/put-your-trust-in-the-lord?lang=eng
L. Whitney Clayton,Marriage: Watch and Learn, love,04,2013,https://www.churchofjesuschrist.org/general-conference/2013/04/marriage-watch-and-learn?lang=eng
Thomas S. Monson,"Come, All Ye Sons of God", love,04,2013,https://www.churchofjesuschrist.org/general-conference/2013/04/come-all-ye-sons-of-god?lang=eng
Dieter F. Uchtdorf,Your Wonderful Journey Home, love,04,2013,https://www.churchofjesuschrist.org/general-conference/2013/04/your-wonderful-journey-home?lang=eng
Jeffrey R. Holland,The First Great Commandment, love,10,2012,https://www.churchofjesuschrist.org/general-conference/2012/10/the-first-great-commandment?lang=eng
Linda K. Burton,"First Observe, Then Serve", love,10,2012,https://www.churchofjesuschrist.org/general-conference/2012/10/first-observe-then-serve?lang=eng
Linda S. Reeves,The Lord Has Not Forgotten You, love,10,2012,https://www.churchofjesuschrist.org/general-conference/2012/10/the-lord-has-not-forgotten-you?lang=eng
Paul E. Koelliker,He Truly Loves Us, love,04,2012,https://www.churchofjesuschrist.org/general-conference/2012/04/he-truly-loves-us?lang=eng
